INDIVIDUALS	STRATA
fas03_red597	fas03
fas03_red598	fas03
fas03_red599	fas03
fas03_red600	fas03
fas03_red601	fas03
fas03_red602	fas03
fas03_red603	fas03
fas03_red604	fas03
fas03_red605	fas03
fas03_red606	fas03
fas03_red607	fas03
fas03_red608	fas03
fas03_red609	fas03
fas03_red610	fas03
fas03_red611	fas03
fas03_red612	fas03
fas03_red613	fas03
fas03_red614	fas03
fas03_red615	fas03
fas03_red616	fas03
fas03_red617	fas03
fas03_red618	fas03
fas03_red619	fas03
fas03_red620	fas03
fas03_red621	fas03
fas03_red622	fas03
fas03_red623	fas03
fas03_red624	fas03
fas03_red625	fas03
fas03_red626	fas03
fas03_red627	fas03
fas03_red628	fas03
fas03_red629	fas03
fas03_red630	fas03
men26_red910	men26
men26_red911	men26
men26_red912	men26
men26_red913	men26
men26_red914	men26
men26_red915	men26
men26_red916	men26
men26_red917	men26
men26_red918	men26
men26_red919	men26
men26_red920	men26
men26_red922	men26
men26_red923	men26
men26_red924	men26
men26_red925	men26
men26_red926	men26
men26_red927	men26
men26_red928	men26
men26_red929	men26
men26_red930	men26
men26_red931	men26
men26_red932	men26
men26_red933	men26
men26_red934	men26
men26_red935	men26
men26_red936	men26
men26_red937	men26
men26_red938	men26
men26_red939	men26
men17_red001	men17
men17_red002	men17
men17_red003	men17
men17_red004	men17
men17_red005	men17
men17_red006	men17
men17_red007	men17
men17_red008	men17
men17_red009	men17
men17_red010	men17
men17_red011	men17
men17_red012	men17
men17_red013	men17
men17_red014	men17
men17_red015	men17
men17_red016	men17
men17_red017	men17
men17_red018	men17
men17_red019	men17
men17_red020	men17
men17_red021	men17
men17_red022	men17
men17_red023	men17
men17_red024	men17
men17_red025	men17
men17_red026	men17
men17_red027	men17
men17_red028	men17
men17_red030	men17
men17_red031	men17
men25_red880	men25
men25_red881	men25
men25_red882	men25
men25_red883	men25
men25_red884	men25
men25_red885	men25
men25_red886	men25
men25_red887	men25
men25_red888	men25
men25_red889	men25
men25_red890	men25
men25_red891	men25
men25_red892	men25
men25_red893	men25
men25_red894	men25
men25_red895	men25
men25_red896	men25
men25_red897	men25
men25_red898	men25
men25_red899	men25
men25_red900	men25
men25_red901	men25
men25_red902	men25
men25_red903	men25
men25_red904	men25
men25_red905	men25
men25_red906	men25
men25_red907	men25
men25_red908	men25
men25_red909	men25
men16_red032	men16
men16_red033	men16
men16_red034	men16
men16_red035	men16
men16_red036	men16
men16_red037	men16
men16_red038	men16
men16_red039	men16
men16_red040	men16
men16_red041	men16
men16_red042	men16
men16_red043	men16
men16_red044	men16
men16_red045	men16
men16_red046	men16
men16_red047	men16
men16_red048	men16
men16_red049	men16
men16_red050	men16
men16_red051	men16
men16_red052	men16
men16_red053	men16
men16_red054	men16
men16_red055	men16
men16_red056	men16
men16_red057	men16
men16_red058	men16
men16_red059	men16
men16_red060	men16
men16_red061	men16
men16_red062	men16
men16_red063	men16
men16_red064	men16
men16_red065	men16
men16_red066	men16
men16_red067	men16
men16_red068	men16
men16_red069	men16
men16_red070	men16
men16_red071	men16
men16_red072	men16
men16_red073	men16
men16_red074	men16
men16_red075	men16
men16_red076	men16
men16_red078	men16
men16_red079	men16
men16_red080	men16
men18_red743	men18
men18_red744	men18
